dep_var,indep_var,group_type,group_label,horizon,effect_value,pvalue,n_obs,status,aic,bic,source_file,description
RSUI,fao_value,element_item,"[1000 An] Producing Animals/Slaughtered | Meat of chickens, fresh or chilled",long_run,0.0037471455634009,,21.0,,302.2061727147882,308.4733073411287,top_long__1000_an.csv,"long run effect estimate of fao_value on RSUI for [1000 An] Producing Animals/Slaughtered | Meat of chickens, fresh or chilled: positive (estimate=0.00374715; p-value not provided in this file)."
RSUI,fao_value,element_item,"[1000 An] Producing Animals/Slaughtered | Meat of ducks, fresh or chilled",long_run,-47.63067771675515,,21.0,,296.45657044703256,302.7237050733731,top_long__1000_an.csv,"long run effect estimate of fao_value on RSUI for [1000 An] Producing Animals/Slaughtered | Meat of ducks, fresh or chilled: negative (estimate=-47.6307; p-value not provided in this file)."
RSUI,fao_value,element_item,[1000 An] Stocks | Ducks,long_run,-16.784031396045044,,21.0,,294.4877810261311,300.7549156524716,top_long__1000_an.csv,long run effect estimate of fao_value on RSUI for [1000 An] Stocks | Ducks: negative (estimate=-16.784; p-value not provided in this file).
RSUI,fao_value,element_item,"[1000 No] Production | Eggs from other birds in shell, fresh, n.e.c.",long_run,0.8051042601714227,,21.0,,312.66146799834405,318.9286026246846,top_long__1000_no.csv,"long run effect estimate of fao_value on RSUI for [1000 No] Production | Eggs from other birds in shell, fresh, n.e.c.: positive (estimate=0.805104; p-value not provided in this file)."
RSUI,fao_value,element_item,"[1000 No] Production | Hen eggs in shell, fresh",long_run,0.0001687842075486,,21.0,,310.228987203717,316.4961218300575,top_long__1000_no.csv,"long run effect estimate of fao_value on RSUI for [1000 No] Production | Hen eggs in shell, fresh: positive (estimate=0.000168784; p-value not provided in this file)."
RSUI,fao_value,element_item,"[An] Producing Animals/Slaughtered | Edible offal of pigs, fresh, chilled or frozen",long_run,-0.0042903356111673,,21.0,,300.5353439735053,306.80247859984587,top_long__an.csv,"long run effect estimate of fao_value on RSUI for [An] Producing Animals/Slaughtered | Edible offal of pigs, fresh, chilled or frozen: negative (estimate=-0.00429034; p-value not provided in this file)."
RSUI,fao_value,element_item,[An] Producing Animals/Slaughtered | Fat of pigs,long_run,-0.0042903356111673,,21.0,,300.5353439735053,306.80247859984587,top_long__an.csv,long run effect estimate of fao_value on RSUI for [An] Producing Animals/Slaughtered | Fat of pigs: negative (estimate=-0.00429034; p-value not provided in this file).
RSUI,fao_value,element_item,"[An] Producing Animals/Slaughtered | Meat of pig with the bone, fresh or chilled",long_run,-0.0042903356111673,,21.0,,300.5353439735053,306.80247859984587,top_long__an.csv,"long run effect estimate of fao_value on RSUI for [An] Producing Animals/Slaughtered | Meat of pig with the bone, fresh or chilled: negative (estimate=-0.00429034; p-value not provided in this file)."
RSUI,fao_value,element_item,"[No/An] Yield | Eggs from other birds in shell, fresh, n.e.c.",long_run,-226.1593949394196,,21.0,,312.66146799834405,318.9286026246846,top_long__no_an.csv,"long run effect estimate of fao_value on RSUI for [No/An] Yield | Eggs from other birds in shell, fresh, n.e.c.: negative (estimate=-226.159; p-value not provided in this file)."
RSUI,fao_value,element_item,"[No/An] Yield | Hen eggs in shell, fresh",long_run,1.5606049011241816,,21.0,,308.02345913228305,314.2905937586236,top_long__no_an.csv,"long run effect estimate of fao_value on RSUI for [No/An] Yield | Hen eggs in shell, fresh: positive (estimate=1.5606; p-value not provided in this file)."
